POSTE;NOM;LON;LAT;ALT;DATE;RR;TN;TX;FXI;DXI;FXY;DXY;INST;ETPMON
22168001;PLOUMANAC'H;-3.473;48.826;55;04/02/2020;0,4;6,8;10,3;21,8;290;10,5;290;;
22168001;PLOUMANAC'H;-3.473;48.826;55;05/02/2020;0;8,2;10,2;6,9;70;4,4;40;;
22168001;PLOUMANAC'H;-3.473;48.826;55;06/02/2020;0;3,8;9,4;10,8;100;6,9;110;;
22168001;PLOUMANAC'H;-3.473;48.826;55;07/02/2020;2;2,1;12,4;11,7;170;7,3;160;;
22168001;PLOUMANAC'H;-3.473;48.826;55;08/02/2020;0;7,7;12,4;16,8;210;9,1;240;;
22168001;PLOUMANAC'H;-3.473;48.826;55;09/02/2020;1,2;7,8;14,1;30,1;240;18,3;250;;
22168001;PLOUMANAC'H;-3.473;48.826;55;10/02/2020;4;7,8;12,4;33,6;260;19,8;260;;
22168001;PLOUMANAC'H;-3.473;48.826;55;11/02/2020;6,2;5,1;9,6;24,6;300;13,3;260;;
22168001;PLOUMANAC'H;-3.473;48.826;55;12/02/2020;3,6;5,3;11,2;14,8;270;9;260;;
22168001;PLOUMANAC'H;-3.473;48.826;55;13/02/2020;3;6,8;10,8;28,2;240;16,8;240;;
22168001;PLOUMANAC'H;-3.473;48.826;55;14/02/2020;0;7,1;13,7;15,2;240;8,7;220;;
22168001;PLOUMANAC'H;-3.473;48.826;55;15/02/2020;4;11,9;14,3;25,7;180;14,3;220;;
22168001;PLOUMANAC'H;-3.473;48.826;55;16/02/2020;3;8;14,9;29,5;200;15,1;220;;
22168001;PLOUMANAC'H;-3.473;48.826;55;17/02/2020;2,8;6,8;10,7;22,6;280;12,2;260;;
22168001;PLOUMANAC'H;-3.473;48.826;55;18/02/2020;2,6;6,4;12,2;20,8;260;12;260;;
22168001;PLOUMANAC'H;-3.473;48.826;55;19/02/2020;1;7,8;12,7;19;300;11;290;;
22168001;PLOUMANAC'H;-3.473;48.826;55;20/02/2020;2,2;7,3;11,7;19,8;210;11,6;220;;
22168001;PLOUMANAC'H;-3.473;48.826;55;21/02/2020;0;5,3;12,5;17,4;210;10;230;;
22168001;PLOUMANAC'H;-3.473;48.826;55;22/02/2020;1,2;8,1;12,5;17,6;210;11,4;230;;
22168001;PLOUMANAC'H;-3.473;48.826;55;23/02/2020;0;10,6;12,9;20,6;240;12,3;230;;
22168001;PLOUMANAC'H;-3.473;48.826;55;24/02/2020;7,1;10,5;12,5;21,5;240;13,4;240;;
22168001;PLOUMANAC'H;-3.473;48.826;55;25/02/2020;1,4;4,6;10,9;26,6;270;15,5;270;;
22168001;PLOUMANAC'H;-3.473;48.826;55;26/02/2020;7;3,6;11,1;27,3;290;14,6;270;;
22168001;PLOUMANAC'H;-3.473;48.826;55;27/02/2020;0,2;5,8;11;26,5;270;15;260;;
22168001;PLOUMANAC'H;-3.473;48.826;55;28/02/2020;10,1;5,1;13,2;21,2;200;11,3;230;;
22168001;PLOUMANAC'H;-3.473;48.826;55;29/02/2020;5,8;5,1;8,8;26,5;210;14;250;;
