STATION;NOM;LONGITUDE;LATITUDE;ALTITUDE;DATE;RR;TN;TX;FXI;DXI;FXY;DXY;INST;ETPMON
01089001;AMBERIEU;5,329;45,976;250;2020/03/13;0,0;5,2;12,0;9,5;350;6,6;330;589;2,7
01089001;AMBERIEU;5,329;45,976;250;2020/03/14;0,0;-1,2;12,7;8,1;360;5,1;10;561;2,0
01089001;AMBERIEU;5,329;45,976;250;2020/03/15;0,0;-1,8;17,0;16,0;190;9,9;200;623;2,0
01089001;AMBERIEU;5,329;45,976;250;2020/03/16;0,0;7,3;18,4;11,0;160;6,3;170;464;3,7
01089001;AMBERIEU;5,329;45,976;250;2020/03/17;0,0;6,5;18,9;6,4;340;4,2;340;452;3,2
01089001;AMBERIEU;5,329;45,976;250;2020/03/18;0,0;3,4;19,3;6,2;360;4,4;350;668;2,1
01089001;AMBERIEU;5,329;45,976;250;2020/03/19;0,0;4,3;21,7;6,7;180;3,8;180;661;2,8
01089001;AMBERIEU;5,329;45,976;250;2020/03/20;0,0;3,7;20,5;7,0;210;4,4;200;624;2,7
01089001;AMBERIEU;5,329;45,976;250;2020/03/21;0,0;3,4;18,7;8,6;360;6,3;360;640;2,4
01089001;AMBERIEU;5,329;45,976;250;2020/03/22;0,0;4,0;13,2;5,8;350;3,5;350;234;1,8
01089001;AMBERIEU;5,329;45,976;250;2020/03/23;0,0;5,7;13,2;7,2;350;4,8;350;673;2,5
01089001;AMBERIEU;5,329;45,976;250;2020/03/24;0,0;-2,0;11,9;6,3;320;4,1;300;689;2,1
01089001;AMBERIEU;5,329;45,976;250;2020/03/25;0,0;-2,5;11,1;8,4;320;5,6;340;465;2,2
01089001;AMBERIEU;5,329;45,976;250;2020/03/26;0,0;-0,7;11,8;11,6;340;8,0;350;567;2,5
01089001;AMBERIEU;5,329;45,976;250;2020/03/27;0,0;-1,6;13,2;7,1;360;5,4;360;362;2,2
01089001;AMBERIEU;5,329;45,976;250;2020/03/28;0,0;0,7;16,4;8,9;350;5,9;350;516;2,5
01089001;AMBERIEU;5,329;45,976;250;2020/03/29;0,0;2,5;10,4;16,2;340;11,4;350;138;2,4
01089001;AMBERIEU;5,329;45,976;250;2020/03/30;0,0;1,4;9,2;8,9;360;6,3;360;74;2,2
01089001;AMBERIEU;5,329;45,976;250;2020/03/31;0,0;-2,9;13,5;7,9;330;5,2;330;699;2,5
02320001;ST QUENTIN;3,206;49,818;98;2020/01/01;0,0;-0,8;1,6;;;;;0;0,0
02320001;ST QUENTIN;3,206;49,818;98;2020/01/02;0,0;0,6;8,6;;;;;3;0,1
02320001;ST QUENTIN;3,206;49,818;98;2020/01/03;1,4;6,4;10,7;13,7;240;9,4;240;49;0,7
02320001;ST QUENTIN;3,206;49,818;98;2020/01/04;0,0;0,3;8,0;9,3;260;6,1;270;258;0,3
02320001;ST QUENTIN;3,206;49,818;98;2020/01/05;0,0;4,2;7,0;3,7;180;3,0;170;0;0,3
02320001;ST QUENTIN;3,206;49,818;98;2020/01/06;0,0;-0,5;7,0;9,0;230;6,3;160;437;0,4
02320001;ST QUENTIN;3,206;49,818;98;2020/01/07;0,0;2,5;10,9;7,9;220;5,9;190;25;0,4
02320001;ST QUENTIN;3,206;49,818;98;2020/01/08;0,6;7,0;12,0;9,2;230;5,7;210;0;0,0
02320001;ST QUENTIN;3,206;49,818;98;2020/01/09;3,4;10,7;12,0;13,9;210;9,8;220;0;0,8
02320001;ST QUENTIN;3,206;49,818;98;2020/01/10;0,0;6,2;8,5;;;;;1;0,6
02320001;ST QUENTIN;3,206;49,818;98;2020/01/11;0,0;2,8;7,3;;;;;160;0,8
02320001;ST QUENTIN;3,206;49,818;98;2020/01/12;0,2;2,2;9,4;;;;;16;0,4
02320001;ST QUENTIN;3,206;49,818;98;2020/01/13;0,2;5,3;10,1;16,0;180;11,0;190;3;0,5
02320001;ST QUENTIN;3,206;49,818;98;2020/01/14;0,4;8,9;11,6;18,9;210;12,7;200;0;1,7
