POSTE;NOM;LON;LAT;ALT;DATE;RR;TN;TX;FXI;DXI;FXY;DXY;INST;ETPMON
76217001;DIEPPE;1.089;49.932;38;14/01/2020;5,5;8,6;13,7;22,4;200;11,3;190;;
76217001;DIEPPE;1.089;49.932;38;15/01/2020;2,6;7,7;11,3;20;180;10,3;190;;
76217001;DIEPPE;1.089;49.932;38;16/01/2020;2;3,8;13,3;16,9;160;7,4;170;;
76217001;DIEPPE;1.089;49.932;38;17/01/2020;6;6,7;10,1;17;280;9,6;240;;
76217001;DIEPPE;1.089;49.932;38;18/01/2020;0,2;4,4;8,4;13;210;8,7;300;;
76217001;DIEPPE;1.089;49.932;38;19/01/2020;0;6,4;8,1;16,1;30;9,2;20;;
76217001;DIEPPE;1.089;49.932;38;20/01/2020;0;-0,1;6,8;7,7;30;4,8;40;;
76217001;DIEPPE;1.089;49.932;38;21/01/2020;0;0,7;5,4;5,2;140;3,1;150;;
76217001;DIEPPE;1.089;49.932;38;22/01/2020;0,2;-3,3;5;8,6;60;5,4;70;;
76217001;DIEPPE;1.089;49.932;38;23/01/2020;0;2,3;6,6;8;50;4,9;60;;
76217001;DIEPPE;1.089;49.932;38;24/01/2020;0;0,8;3,1;5,7;170;3,4;150;;
76217001;DIEPPE;1.089;49.932;38;25/01/2020;0,2;0;6,5;10,2;190;5,3;160;;
76217001;DIEPPE;1.089;49.932;38;26/01/2020;1;2,5;9,6;13,5;180;7,3;180;;
76217001;DIEPPE;1.089;49.932;38;27/01/2020;7,8;7,4;11;15,1;210;7,2;250;;
76217001;DIEPPE;1.089;49.932;38;28/01/2020;9,3;2,6;8,2;23;300;12,2;270;;
76217001;DIEPPE;1.089;49.932;38;29/01/2020;0;4,5;9,3;20,6;290;11,6;280;;
76217001;DIEPPE;1.089;49.932;38;30/01/2020;2,6;5,4;13;14,8;230;8;230;;
76217001;DIEPPE;1.089;49.932;38;31/01/2020;11,9;10,2;13,9;14,1;190;7,4;240;;
76217001;DIEPPE;1.089;49.932;38;01/02/2020;4,2;9,7;12,6;17,2;290;9,3;240;;
76217001;DIEPPE;1.089;49.932;38;02/02/2020;1;8,4;13,3;21,9;240;13,5;250;;
76217001;DIEPPE;1.089;49.932;38;03/02/2020;14,7;8;12,1;21,1;300;11,9;310;;
76217001;DIEPPE;1.089;49.932;38;04/02/2020;0;6,9;9,3;23,6;310;14,7;290;;
76217001;DIEPPE;1.089;49.932;38;05/02/2020;0,2;7,2;8,2;10,8;10;7,1;350;;
76217001;DIEPPE;1.089;49.932;38;06/02/2020;0;-0,2;9,4;6,3;150;3,3;170;;
76217001;DIEPPE;1.089;49.932;38;07/02/2020;0;0,3;10,5;12,3;190;6;170;;
76217001;DIEPPE;1.089;49.932;38;08/02/2020;2,2;8,5;10,1;11,9;200;5,9;190;;
76217001;DIEPPE;1.089;49.932;38;09/02/2020;8;7,5;14,2;29,8;250;16,5;250;;
76217001;DIEPPE;1.089;49.932;38;10/02/2020;8,5;6,3;10,1;35;300;18,1;280;;
76217001;DIEPPE;1.089;49.932;38;11/02/2020;2,6;4,9;8,7;28,1;280;14,7;280;;
76217001;DIEPPE;1.089;49.932;38;12/02/2020;2,4;4,6;8,7;17,4;220;10,4;280;;
76217001;DIEPPE;1.089;49.932;38;13/02/2020;9,7;6,1;9,6;22,1;280;12,9;270;;
76217001;DIEPPE;1.089;49.932;38;14/02/2020;0;8;12,2;11,7;240;7,2;260;;
76217001;DIEPPE;1.089;49.932;38;15/02/2020;4;8,6;14,2;23,6;200;11,2;200;;
76217001;DIEPPE;1.089;49.932;38;16/02/2020;7,7;7,7;17;27,7;200;12,5;270;;
76217001;DIEPPE;1.089;49.932;38;17/02/2020;3,2;5,9;10,4;23,1;240;11,6;230;;
76217001;DIEPPE;1.089;49.932;38;18/02/2020;12,1;5,5;10,3;19,8;280;12,6;300;;
76217001;DIEPPE;1.089;49.932;38;19/02/2020;1,6;5,8;9,3;19,4;310;11,5;300;;
76217001;DIEPPE;1.089;49.932;38;20/02/2020;4;7,1;12,4;21,5;270;13,8;280;;
76217001;DIEPPE;1.089;49.932;38;21/02/2020;0;4,5;10,3;14,6;270;9,1;280;;
76217001;DIEPPE;1.089;49.932;38;22/02/2020;0,2;5,8;11,8;18,5;230;9,9;230;;
76217001;DIEPPE;1.089;49.932;38;23/02/2020;2,8;10,4;13,4;;;;;;
