STATION;NOM;LONGITUDE;LATITUDE;ALTITUDE;DATE;RR;TN;TX;FXI;DXI;FXY;DXY;INST;ETPMON
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/10;0.0;7.0;11.8;10.3;240;5.8;250;33;1.3
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/11;0.0;1.6;11.4;3.7;20;2.1;80;476;0.8
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/12;0.0;-2.8;6.4;4.8;110;3.7;110;222;0.4
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/13;0.0;-0.8;3.5;8.0;120;5.7;110;0;0.3
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/14;0.0;-0.3;14.3;12.0;130;7.6;120;486;0.8
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/15;0.0;-0.2;15.8;9.7;160;6.8;110;230;0.6
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/16;0.0;4.5;15.7;14.0;120;8.1;120;462;1.3
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/17;8.9;6.7;11.3;12.9;240;7.1;320;61;0.9
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/18;0.0;0.2;8.5;10.3;90;7.5;100;62;0.4
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/19;0.0;3.7;9.8;13.3;20;8.3;10;358;2.1
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/20;0.0;-1.9;8.2;6.9;50;4.7;50;207;1.0
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/21;0.0;3.7;12.5;11.8;100;8.1;90;62;1.8
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/22;9.1;4.2;13.8;15.6;90;9.1;100;3;1.1
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/23;0.0;9.8;15.0;19.5;90;12.8;100;103;1.9
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/24;0.0;5.7;13.3;6.0;100;4.4;100;188;0.9
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/25;0.0;2.7;12.4;5.5;100;4.0;110;138;0.6
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/26;1.6;3.9;13.7;6.2;220;3.9;230;134;0.8
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/27;5.6;3.9;10.8;10.9;190;6.2;160;12;0.5
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/28;2.6;8.1;13.2;15.1;260;9.5;270;230;1.1
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/29;9.3;4.4;14.0;8.7;240;4.8;240;245;0.8
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/30;5.0;8.2;13.6;5.9;120;4.8;120;0;0.3
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/31;1.2;10.5;17.3;6.0;290;4.0;280;121;1.1
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/01;5.9;7.7;17.4;11.2;280;7.0;280;121;0.9
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/02;0.0;10.4;21.4;5.3;260;4.0;100;447;1.5
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/03;0.2;5.4;20.0;;;;;484;1.0
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/04;0.0;8.0;12.9;14.4;270;8.7;280;204;1.9
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/05;0.0;-0.3;12.0;9.6;70;5.3;30;553;0.9
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/06;0.0;-2.8;12.7;8.3;100;5.5;90;557;1.0
